"";"cache_id";"reporting_level";"area";"Nobs_rl_a";"Nobs_rl";"Nobs";"Perc_a";"Perc_rl"
"424";"BOL_2016_EH_D1_INC_GPWG";"national";"rural";8846;38203;38203;0,23;1
"425";"BOL_2017_EH_D1_INC_GPWG";"national";"urban";29481;37500;37500;0,79;1
"426";"BOL_2017_EH_D1_INC_GPWG";"national";"rural";8019;37500;37500;0,21;1
"427";"BOL_2018_EH_D1_INC_GPWG";"national";"urban";29159;37418;37418;0,78;1
"428";"BOL_2018_EH_D1_INC_GPWG";"national";"rural";8259;37418;37418;0,22;1
"429";"BOL_2019_EH_D1_INC_GPWG";"national";"rural";8810;39313;39313;0,22;1
"430";"BOL_2019_EH_D1_INC_GPWG";"national";"urban";30503;39313;39313;0,78;1
"431";"BOL_2020_EH_D1_INC_GPWG";"national";"urban";28364;37000;37000;0,77;1
"432";"BOL_2020_EH_D1_INC_GPWG";"national";"rural";8636;37000;37000;0,23;1
"433";"BOL_2021_EH_D1_INC_GPWG";"national";"urban";32375;41984;41984;0,77;1
"434";"BOL_2021_EH_D1_INC_GPWG";"national";"rural";9609;41984;41984;0,23;1
"435";"BRA_1981_PNAD_D1_INC_HIST";"national";"urban";365068;464064;464064;0,79;1
"436";"BRA_1981_PNAD_D1_INC_HIST";"national";"rural";98996;464064;464064;0,21;1
"437";"BRA_1982_PNAD_D1_INC_HIST";"national";"urban";382014;486815;486815;0,78;1
"438";"BRA_1982_PNAD_D1_INC_HIST";"national";"rural";104801;486815;486815;0,22;1
"439";"BRA_1983_PNAD_D1_INC_HIST";"national";"urban";388705;491116;491116;0,79;1
"440";"BRA_1983_PNAD_D1_INC_HIST";"national";"rural";102411;491116;491116;0,21;1
"441";"BRA_1984_PNAD_D1_INC_HIST";"national";"rural";105208;494294;494294;0,21;1
"442";"BRA_1984_PNAD_D1_INC_HIST";"national";"urban";389086;494294;494294;0,79;1
"443";"BRA_1985_PNAD_D1_INC_HIST";"national";"urban";390178;495288;495288;0,79;1
"444";"BRA_1985_PNAD_D1_INC_HIST";"national";"rural";105110;495288;495288;0,21;1
"445";"BRA_1986_PNAD_D1_INC_HIST";"national";"urban";217346;279014;279014;0,78;1
"446";"BRA_1986_PNAD_D1_INC_HIST";"national";"rural";61668;279014;279014;0,22;1
"447";"BRA_1987_PNAD_D1_INC_HIST";"national";"urban";225491;288419;288419;0,78;1
"448";"BRA_1987_PNAD_D1_INC_HIST";"national";"rural";62928;288419;288419;0,22;1
"449";"BRA_1988_PNAD_D1_INC_HIST";"national";"rural";65195;290435;290435;0,22;1
"450";"BRA_1988_PNAD_D1_INC_HIST";"national";"urban";225240;290435;290435;0,78;1
"451";"BRA_1989_PNAD_D1_INC_HIST";"national";"urban";228932;290182;290182;0,79;1
"452";"BRA_1989_PNAD_D1_INC_HIST";"national";"rural";61250;290182;290182;0,21;1
"453";"BRA_1990_PNAD_D1_INC_GPWG";"national";"urban";231822;295101;295101;0,79;1
"454";"BRA_1990_PNAD_D1_INC_GPWG";"national";"rural";63279;295101;295101;0,21;1
"455";"BRA_1992_PNAD_D1_INC_GPWG";"national";"urban";244954;300323;300323;0,82;1
"456";"BRA_1992_PNAD_D1_INC_GPWG";"national";"rural";55369;300323;300323;0,18;1
"457";"BRA_1993_PNAD_D1_INC_GPWG";"national";"urban";255111;311213;311213;0,82;1
"458";"BRA_1993_PNAD_D1_INC_GPWG";"national";"rural";56102;311213;311213;0,18;1
"459";"BRA_1995_PNAD_D1_INC_GPWG";"national";"urban";266170;323886;323886;0,82;1
"460";"BRA_1995_PNAD_D1_INC_GPWG";"national";"rural";57716;323886;323886;0,18;1
"461";"BRA_1996_PNAD_D1_INC_GPWG";"national";"urban";264228;322855;322855;0,82;1
"462";"BRA_1996_PNAD_D1_INC_GPWG";"national";"rural";58627;322855;322855;0,18;1
"463";"BRA_1997_PNAD_D1_INC_GPWG";"national";"urban";277864;339355;339355;0,82;1
"464";"BRA_1997_PNAD_D1_INC_GPWG";"national";"rural";61491;339355;339355;0,18;1
"465";"BRA_1998_PNAD_D1_INC_GPWG";"national";"urban";275441;335156;335156;0,82;1
"466";"BRA_1998_PNAD_D1_INC_GPWG";"national";"rural";59715;335156;335156;0,18;1
"467";"BRA_1999_PNAD_D1_INC_GPWG";"national";"rural";61956;343889;343889;0,18;1
"468";"BRA_1999_PNAD_D1_INC_GPWG";"national";"urban";281933;343889;343889;0,82;1
"469";"BRA_2001_PNAD_D1_INC_GPWG";"national";"urban";318201;370983;370983;0,86;1
