"";"cache_id";"reporting_level";"area";"N"
"151";"AUT_2015_EU-SILC_D1_INC_GPWG";"national";"urban";7582
"152";"AUT_2015_EU-SILC_D1_INC_GPWG";"national";"rural";5631
"153";"AUT_2016_EU-SILC_D1_INC_GPWG";"national";"urban";7450
"154";"AUT_2016_EU-SILC_D1_INC_GPWG";"national";"rural";5594
"155";"AUT_2017_EU-SILC_D1_INC_GPWG";"national";"rural";5374
"156";"AUT_2017_EU-SILC_D1_INC_GPWG";"national";"urban";7502
"157";"AUT_2018_EU-SILC_D1_INC_GPWG";"national";"urban";7473
"158";"AUT_2018_EU-SILC_D1_INC_GPWG";"national";"rural";5276
"159";"AUT_2019_EU-SILC_D1_INC_GPWG";"national";"rural";5119
"160";"AUT_2019_EU-SILC_D1_INC_GPWG";"national";"urban";7236
"161";"AUT_2020_EU-SILC_D1_INC_GPWG";"national";"urban";7326
"162";"AUT_2020_EU-SILC_D1_INC_GPWG";"national";"rural";4944
"163";"AUT_2021_EU-SILC_D1_INC_GPWG";"national";"rural";5031
"164";"AUT_2021_EU-SILC_D1_INC_GPWG";"national";"urban";7308
"165";"AUT_2022_EU-SILC_D1_INC_GPWG";"national";"rural";4971
"166";"AUT_2022_EU-SILC_D1_INC_GPWG";"national";"urban";7125
"167";"AZE_1995_SLC_D1_CON_HIST";"national";"rural";972
"168";"AZE_1995_SLC_D1_CON_HIST";"national";"urban";1044
"169";"AZE_2001_HBS_D1_CON_HIST";"national";"urban";4197
"170";"AZE_2001_HBS_D1_CON_HIST";"national";"rural";3623
"171";"AZE_2002_HBS_D1_CON_GPWG";"national";"rural";14995
"172";"AZE_2002_HBS_D1_CON_GPWG";"national";"urban";18648
"173";"AZE_2003_HBS_D1_CON_GPWG";"national";"rural";14814
"174";"AZE_2003_HBS_D1_CON_GPWG";"national";"urban";18917
"175";"AZE_2004_HBS_D1_CON_GPWG";"national";"rural";15513
"176";"AZE_2004_HBS_D1_CON_GPWG";"national";"urban";18130
"177";"AZE_2005_HBS_D1_CON_GPWG";"national";"rural";15081
"178";"AZE_2005_HBS_D1_CON_GPWG";"national";"urban";17794
"179";"BDI_1992_EDCM_D1_CON_SYNTH";"national";"national";100000
"180";"BDI_1998_EP_D1_CON_HIST";"national";"rural";3908
"181";"BDI_1998_EP_D1_CON_HIST";"national";"urban";2760
"182";"BDI_2006_QUIBB_D1_CON_GPWG";"national";"rural";6221
"183";"BDI_2006_QUIBB_D1_CON_GPWG";"national";"urban";803
"184";"BDI_2013_ECVMB_D1_CON_GPWG";"national";"urban";10420
"185";"BDI_2013_ECVMB_D1_CON_GPWG";"national";"rural";22227
"186";"BDI_2020_EICVMB_D1_CON_GPWG";"national";"urban";9257
"187";"BDI_2020_EICVMB_D1_CON_GPWG";"national";"rural";30816
"188";"BEL_1985_SEP-LIS_D1_INC_BIN";"national";"";400
"189";"BEL_1988_SEP-LIS_D1_INC_BIN";"national";"";400
"190";"BEL_1992_SEP-LIS_D1_INC_BIN";"national";"";400
"191";"BEL_1995_PSBH-ECHP-LIS_D1_INC_BIN";"national";"";399
"192";"BEL_1997_SEP-LIS_D1_INC_BIN";"national";"";400
"193";"BEL_2000_PSBH-ECHP-LIS_D1_INC_BIN";"national";"";399
"194";"BEL_2004_EU-SILC_D1_INC_GPWG";"national";"urban";12212
"195";"BEL_2004_EU-SILC_D1_INC_GPWG";"national";"rural";726
